index,genres,keywords,tagline,title,cast,director
1191,Comedy Adventure Fantasy Science Fiction Action,defense industry toy shop technical toy soldier prototype,"The few, the proud, and the small.",Small Soldiers,Gregory Smith Kirsten Dunst Denis Leary Phil Hartman David Cross,Joe Dante
1192,Action Adventure Fantasy Horror Science Fiction,anti hero secret agent fistfight based on comic book burn victim,Born in darkness. Sworn to justice.,Spawn,Michael Jai White Martin Sheen John Leguizamo Theresa Randle Nicol Williamson,Mark A.Z. Dipp\u00e9
1193,Action Adventure Drama Thriller,loss of lover lover (female) ex-lover torture napoleon bonaparte,Prepare for adventure. Count on revenge.,The Count of Monte Cristo,Jim Caviezel Guy Pearce Richard Harris James Frain Dagmara Domi\u0144czyk,Kevin Reynolds
1194,Crime Drama Thriller,judge arrest jury private investigator,This Case is a Dangerous Game of Life and Death,The Lincoln Lawyer,Matthew McConaughey Marisa Tomei Ryan Phillippe William H. Macy Josh Lucas,Brad Furman
1195,Action Mystery Thriller,taxi hotel coma taxi driver prince,Take Back Your Life,Unknown,Liam Neeson Diane Kruger January Jones Aidan Quinn Bruno Ganz,Jaume Collet-Serra
1196,Drama Mystery Thriller,competition secret obsession magic dying and death,Are You Watching Closely?,The Prestige,Hugh Jackman Christian Bale Michael Caine Scarlett Johansson Andy Serkis,Christopher Nolan
1197,Comedy,prison kidnapping sequel car chase sex addict,New Crime. Same Tools.,Horrible Bosses 2,Jason Bateman Jason Sudeikis Charlie Day Jennifer Aniston Kevin Spacey,Sean Anders
1198,Animation Comedy Adventure Family Science Fiction,spaceship alien rescue escape planet,Earth's greatest secrets are about to break out!,Escape from Planet Earth,Brendan Fraser Rob Corddry Ricky Gervais Jessica Alba Sarah Jessica Parker,Callan Brunker
1199,Action Adventure Drama Thriller,loss of family solar eclipse slavery jaguar village,No one can outrun their destiny.,Apocalypto,Rudy Youngblood Raoul Max Trujillo Gerardo Taracena Iazua Larios Antonio Monroy,Mel Gibson
1200,Action Adventure Thriller,london england smuggling of arms prison england assassination,Licensed to thrill.,The Living Daylights,Timothy Dalton Maryam d'Abo Jeroen Krabb\u00e9 Joe Don Baker John Rhys-Davies,John Glen
1201,Action Science Fiction Adventure Thriller,hunter predator yakuza hunting human beings alien life-form,Fear is Reborn,Predators,Topher Grace Alice Braga Laurence Fishburne Adrien Brody Danny Trejo,Nimr\u00f3d Antal
1202,Comedy Crime Drama Romance Thriller,court case client lawyer courtroom,Tom Logan has a law partner who put a dog on the witness stand. A client who can't enter a room without a crime being committed. And a case that could turn out to be the murder of the year. His.,Legal Eagles,Robert Redford Debra Winger Daryl Hannah Brian Dennehy Terence Stamp,Ivan Reitman
1203,Thriller Mystery,alcohol adultery detective mississippi jealousy,The most important part of a story is the ending.,Secret Window,Johnny Depp John Turturro Timothy Hutton Charles S. Dutton Len Cariou,David Koepp
1204,Romance Drama Mystery,chicago writing architect future time,How do you hold on to someone you've never met?,The Lake House,Keanu Reeves Sandra Bullock Shohreh Aghdashloo Christopher Plummer Ebon Moss-Bachrach,Alejandro Agresti
1205,Drama Horror Mystery Thriller,nurse secret dream fight kidnapping,Fearing Is Believing,The Skeleton Key,Kate Hudson Gena Rowlands Peter Sarsgaard John Hurt Joy Bryant,Iain Softley
1206,Fantasy Drama Comedy Family,green dodgeball incredibile timothy,He's a force of nature.,The Odd Life of Timothy Green,Jennifer Garner Joel Edgerton Ron Livingston Rosemarie DeWitt CJ Adams,Peter Hedges
1207,Comedy Romance,scotland love of one's life ladykiller one-night stand bridesmaid,He'll do anything to get the groom out of the picture.,Made of Honor,Patrick Dempsey Michelle Monaghan Kevin McKidd Chris Messina Richmond Arquette,Paul Weiland
1208,Music Drama,biography based on play,,Jersey Boys,Christopher Walken Vincent Piazza Freya Tingley James Madio Sean Whalen,Clint Eastwood
1209,Drama Crime Thriller,jurors proof court case leukemia lawyer,They were totally unqualified to try the case of a lifetime... but every underdog has his day.,The Rainmaker,Matt Damon Danny DeVito Jon Voight Claire Danes Mary Kay Place,Francis Ford Coppola
1210,Horror Thriller,amnesia mental institution patient trust false accusations,Because someone is dead doesn't mean they're gone.,Gothika,Halle Berry Robert Downey Jr. Charles S. Dutton Pen\u00e9lope Cruz John Carroll Lynch,Mathieu Kassovitz
1211,Drama History Mystery,cuba mutiny slavery sentence historical figure,Freedom is not given. It is our right at birth. But there are some moments when it must be taken.,Amistad,Morgan Freeman Nigel Hawthorne Anthony Hopkins Djimon Hounsou Matthew McConaughey,Steven Spielberg
1212,Adventure,medicine ant research amazon cancer,He turned his back on civilization. Only to discover he had the power to save it.,Medicine Man,Sean Connery Lorraine Bracco Jos\u00e9 Wilker Rodolfo De Alexandre Angelo Barra Moreira,John McTiernan
1213,Fantasy Action Science Fiction Thriller Horror,predator national guard hybrid alien morgue,The Last Place On Earth We Want To Be Is In The Middle,Aliens vs Predator: Requiem,Steven Pasquale Reiko Aylesworth John Ortiz Ariel Gade Sam Trammell,Colin Strause
1214,Comedy Family,family life raft private plane toothbrush gluttony,An adventure so big... even the world's richest kid can't afford to miss it!,Ri¢hie Ri¢h,Macaulay Culkin John Larroquette Edward Herrmann Christine Ebersole Michael Maccarone,Donald Petrie
1215,Drama Romance,new love love of one's life unexpected happiness dying and death success,He fell in love for the first time. She fell in love forever.,Autumn in New York,Richard Gere Winona Ryder Anthony LaPaglia Elaine Stritch Vera Farmiga,Joan Chen
1216,Comedy Music Romance,pop star song romantic comedy song writing piano,Share the music with someone you love.,Music and Lyrics,Drew Barrymore Hugh Grant Scott Porter Brad Garrett Haley Bennett,Marc Lawrence
1217,Adventure Comedy Science Fiction,san diego area 51 alien space craft hit with a chair shot in the knee,Who's up for a close encounter?,Paul,Seth Rogen Simon Pegg Nick Frost Jason Bateman Kristen Wiig,Greg Mottola
1218,Comedy,inventor road trip guilt mother son relationship woman director,Get ready for one mother of a road trip,The Guilt Trip,Seth Rogen Barbra Streisand Yvonne Strahovski Colin Hanks Adam Scott,Anne Fletcher
1219,Horror Mystery,sheriff book knife horror rescue,New Decade. New Rules.,Scream 4,David Arquette Neve Campbell Courteney Cox Emma Roberts Hayden Panettiere,Wes Craven
1220,Thriller Crime Mystery,pornography porn actor loss of daughter child pornography private investigator,You can't prepare for where the truth will take you.,8MM,Nicolas Cage Joaquin Phoenix James Gandolfini Chris Bauer Anthony Heald,Joel Schumacher
1221,Drama Music,hippie poetry sex rock and roll nudity,"The Ultimate Story of Sex, Drugs & Rock 'N' Roll",The Doors,Val Kilmer Meg Ryan Kyle MacLachlan Frank Whaley Kevin Dillon,Oliver Stone
1222,Comedy,marriage internet relationship family sex tape,A movie about a movie they don't want you to see.,Sex Tape,Cameron Diaz Jason Segel Rob Corddry Ellie Kemper Rob Lowe,Jake Kasdan
1223,Comedy Drama,sister sister relationship cheating amnesia crisis line telephone,Every family has a few hang-ups.,Hanging Up,Meg Ryan Diane Keaton Lisa Kudrow Walter Matthau Adam Arkin,Diane Keaton
1224,Horror Mystery,premonition death by accident crash end is here duringcreditsstinger,We all share a common destination.,Final Destination 5,Emma Bell Nicholas D'Agosto Miles Fisher Ellen Wroe Jacqueline MacInnes Wood,Steven Quale
1225,Comedy Crime Romance,new york marriage proposal fbi mafia boss mafia,A romantic comedy you can't refuse,Mickey Blue Eyes,Hugh Grant James Caan Jeanne Tripplehorn Burt Young James Fox,Kelly Makin
1226,Drama Romance,child's point of view candlelight vigil good deed exotic dancer schoolteacher,"When someone does you a big favor, don't pay it back... Pay It Forward",Pay It Forward,Kevin Spacey Helen Hunt Haley Joel Osment Jay Mohr Jim Caviezel,Mimi Leder
1227,Comedy Drama Romance,baseball fanatic relationship problems sport teacher,A Comedy About The Game of Love.,Fever Pitch,Drew Barrymore Jimmy Fallon Jason Spevack Jack Kehler Maureen Keiller,Bobby Farrelly
1228,Comedy,prison jealousy homeless person beach parents kids relationship,You get what you pay for,Drillbit Taylor,Owen Wilson Leslie Mann Josh Peck David Dorfman Nate Hartley,Steven Brill
1229,Comedy Western,gunslinger farmer wild west laxative,Bring protection.,A Million Ways to Die in the West,Seth MacFarlane Charlize Theron Liam Neeson Amanda Seyfried Neil Patrick Harris,Seth MacFarlane
1230,Adventure Fantasy Action Thriller Science Fiction,new york atomic bomb ladykiller hypnosis superhero,The Shadow Knows!,The Shadow,Alec Baldwin John Lone Penelope Ann Miller Peter Boyle Ian McKellen,Russell Mulcahy
1231,Drama,based on novel autism key scavenger hunt death of father,"This is not a story about September 11th, it's a story about every day after.",Extremely Loud & Incredibly Close,Thomas Horn Tom Hanks Sandra Bullock Max von Sydow John Goodman,Stephen Daldry
1232,Comedy Drama Romance,work ethic tv morning show tv reporter,Breakfast TV just got interesting.,Morning Glory,Rachel McAdams Harrison Ford Patrick Wilson Jeff Goldblum Diane Keaton,Roger Michell
1233,Drama,loss of mother attempted murder career musical rapper,If You Think You Know the Story...You Don't Know the Man.,Get Rich or Die Tryin',50 Cent Joy Bryant Adewale Akinnuoye-Agbaje Omar Benson Miller Terrence Howard,Jim Sheridan
1234,Crime Action Adventure,china chinese woman secret agent conspiracy of murder united nations,Who is your foe?,The Art of War,Wesley Snipes Donald Sutherland Maury Chaykin Anne Archer Michael Biehn,Christian Duguay
1235,Drama Romance,gay sex aids musical hiv,No day but today.,Rent,Anthony Rapp Adam Pascal Rosario Dawson Jesse L. Martin Wilson Jermaine Heredia,Chris Columbus
1236,Drama Horror Thriller Crime,sister sister relationship autism mephisto satanism ersatz,Mankind's last hope just turned six.,Bless the Child,Kim Basinger Angela Bettis Holliston Coleman Rufus Sewell Christina Ricci,Chuck Russell
1237,Comedy,new york travel misfortune,"They fell in love 24 years ago... and in the next 24 hours, they'll remember why.",The Out-of-Towners,Steve Martin Goldie Hawn John Cleese Mark McKinney Jessica Cauffiel,Sam Weisman
1238,Fantasy Horror Science Fiction,monster experiment island mutation genetics,The gates of hell are unlocked.,The Island of Dr. Moreau,Marlon Brando Val Kilmer David Thewlis Fairuza Balk Daniel Rigney,John Frankenheimer
1239,Action Adventure Drama,loss of family queen power power takeover kingdom,As you've never seen it before.,The Musketeer,Catherine Deneuve Mena Suvari Stephen Rea Tim Roth Justin Chambers,Peter Hyams
1240,Drama,england sister sister relationship queen kingdom henry viii,Two sisters divided for the love of a king.,The Other Boleyn Girl,Natalie Portman Scarlett Johansson Eric Bana Jim Sturgess Kristin Scott Thomas,Justin Chadwick
1241,Drama Romance,workaholic dogsitter,She Just Needed A Month To Change His Life For Ever.,Sweet November,Keanu Reeves Charlize Theron Jason Isaacs Greg Germann Lauren Graham,Pat O'Connor
1242,Horror,river miracle bible louisiana frog,What Hath God Wrought?,The Reaping,Hilary Swank David Morrissey Idris Elba AnnaSophia Robb Stephen Rea,Stephen Hopkins
1243,Drama Crime,epilepsy protection money secret love money redemption,You don't make up for your sins in church. You do it in the streets...,Mean Streets,Harvey Keitel Robert De Niro David Proval Amy Robinson Richard Romanus,Martin Scorsese
1244,Comedy War,vietnam veteran commercial advertising expert kaserne stau,"One Man's Mission To Teach The Few, The Proud... The Impossible!",Renaissance Man,Danny DeVito Mark Wahlberg Gregory Hines James Remar Ed Begley Jr.,Penny Marshall
1245,Action Thriller Crime Drama,street gang uncle female assassin witness to murder,Revenge is beautiful.,Colombiana,Zoe Saldana Cliff Curtis Callum Blue Michael Vartan Lennie James,Olivier Megaton
1246,Fantasy Animation Drama Romance Family,,An evil knight gives nobility a bad name.,Quest for Camelot,Jessalyn Gilsig Cary Elwes Gary Oldman Don Rickles Jane Seymour,Frederik Du Chau
1247,Crime Drama Mystery,murder homicide detective,When you're searching for a killer... the last suspect you want to see is your son.,City By The Sea,Robert De Niro James Franco Frances McDormand Eliza Dushku George Dzundza,Michael Caton-Jones
1248,Drama Romance,blind massage therapist,Science gave him sight. She gave him vision.,At First Sight,Val Kilmer Mira Sorvino Kelly McGillis Steven Weber Bruce Davison,Irwin Winkler
1249,Action,ex-girlfriend drug dealer gang motorcyclist,Circuit of Fire,Torque,Martin Henderson Ice Cube Monet Mazur Adam Scott Matt Schulze,Joseph Kahn
1250,Drama Thriller,corruption undercover war on drugs mayor drug dealer,It started with a shootout on a rainswept street and ended in a scandal that shattered New York.,City Hall,Al Pacino John Cusack Bridget Fonda Danny Aiello Martin Landau,Harold Becker
1251,Drama,dancing female nudity go-go dancer spanner seduction,Beyond your wildest dreams. Beyond your wildest fantasies.,Showgirls,Elizabeth Berkley Kyle MacLachlan Gina Gershon Glenn Plummer Robert Davi,Paul Verhoeven
1252,Drama History,shoe voice over rite theatre audience bride and groom,Rumor. Scandal. Fame. Revolution.,Marie Antoinette,Kirsten Dunst Jason Schwartzman Judy Davis Rip Torn Rose Byrne,Sofia Coppola
1253,Action Crime Drama Thriller,hoodlum,,Kiss of Death,David Caruso Samuel L. Jackson Nicolas Cage Helen Hunt Kathryn Erbe,Barbet Schroeder
1254,Action Drama Thriller Crime,ritual pornographic video car crash dvd,The Truth Hurts,Get Carter,Sylvester Stallone Miranda Richardson Rachael Leigh Cook Mickey Rourke Johnny Strong,Stephen T. Kay
1255,Thriller Drama,thailand tsunami family vacation tidal wave catastrophe,Nothing is more powerful than the human spirit.,The Impossible,Naomi Watts Ewan McGregor Tom Holland Samuel Joslin Oaklee Pendergast,Juan Antonio Bayona
1256,Action Adventure Comedy,wilderness sahara beautiful woman singer escape,,Ishtar,Warren Beatty Dustin Hoffman Isabelle Adjani Charles Grodin Jack Weston,Elaine May
1257,Adventure Animation Comedy Family,fox tree peasant revenge cider,Dig the life fantastic!,Fantastic Mr. Fox,George Clooney Meryl Streep Jason Schwartzman Bill Murray Wallace Wolodarsky,Wes Anderson
1258,Comedy Drama Romance,,,Life or Something Like It,Angelina Jolie Edward Burns Tony Shalhoub Christian Kane Melissa Errico,Stephen Herek
1259,Comedy Fantasy Science Fiction,invisible man,An adventure like you've never seen.,Memoirs of an Invisible Man,Chevy Chase Daryl Hannah Sam Neill Michael McKean Stephen Tobolowsky,John Carpenter
1260,Comedy Romance,paris love triangle ghost train sex-shop shyness,One person can change your life forever.,Amélie,Audrey Tautou Mathieu Kassovitz Rufus Jamel Debbouze Claire Maurier,Jean-Pierre Jeunet
1261,Comedy,twin sister music video geek vacation university,,New York Minute,Ashley Olsen Mary-Kate Olsen Eugene Levy Andy Richter Riley Smith,Dennie Gordon
1262,Comedy,new york cheating flirt lover older woman seduces younger guy,Meet a man who never met a woman he didn't love.,Alfie,Jude Law Marisa Tomei Omar Epps Jane Krakowski Ren\u00e9e Taylor,Charles Shyer
1263,Adventure Drama Romance,whale alaska aftercreditsstinger duringcreditsstinger greenpeace,A family of whales trapped beneath the ice. One unforgettable rescue.,Big Miracle,Drew Barrymore John Krasinski Kristen Bell Vinessa Shaw Dermot Mulroney,Ken Kwapis
1264,Drama Mystery,kidnapping boy reunion,The search for her son was over. The search for her family was just beginning.,The Deep End of the Ocean,Michelle Pfeiffer Treat Williams Whoopi Goldberg Jonathan Jackson Cory Buck,Ulu Grosbard
1265,Horror Thriller,race against time psychopath homepage cop doctor,The last site you'll ever see.,FearDotCom,Stephen Dorff Natascha McElhone Stephen Rea Udo Kier Amelia Curtis,William Malone
1266,Adventure Fantasy Action Thriller,vampire spider wolfman stew best friend,Meet Darren. He's sixteen going on immortal.,Cirque du Freak: The Vampire's Assistant,John C. Reilly Josh Hutcherson Chris Massoglia Patrick Fugit Salma Hayek,Paul Weitz
1267,Action Comedy Thriller,,,Duplex,Ben Stiller Drew Barrymore Eileen Essell Amber Valletta Justin Theroux,Danny DeVito
1268,Comedy Music,duringcreditsstinger,,Soul Men,Samuel L. Jackson Bernie Mac Sharon Leal Adam Herschman Sean Hayes,Malcolm D. Lee
1269,Action Drama Thriller,,They've found the Titanic. There's just one thing left to do...,Raise the Titanic,M. Emmet Walsh Richard Jordan David Selby Anne Archer Alec Guinness,Jerry Jameson
1270,Action Science Fiction,super computer computer program destiny timebomb,Prepare to become obsolete,Universal Soldier: The Return,Jean-Claude Van Damme Kiana Tom Bill Goldberg Michael Jai White Heidi Schanz,Mic Rodgers
1271,Action Horror Mystery Science Fiction Thriller,dystopia spaceship survival mission,Don't fear the end of the world. Fear what happens next.,Pandorum,Ben Foster Dennis Quaid Cam Gigandet Antje Traue Cung Le,Christian Alvart
1272,Action Science Fiction Thriller,android alien,"In the Future, not everyone is who they seem to be.",Impostor,Gary Sinise Madeleine Stowe Mekhi Phifer Vincent D'Onofrio Tony Shalhoub,Gary Fleder
1273,Action Adventure Drama Thriller,ski,Fear is a trigger,Extreme Ops,Devon Sawa Bridgette Wilson Rufus Sewell Rupert Graves Heino Ferch,Christian Duguay
1274,Comedy Fantasy Science Fiction,time travel remake alternate history dragon remake of french film,"They're not just from another time, they're from France.",Just Visiting,Jean Reno Christina Applegate Christian Clavier Matt Ross Tara Reid,Jean-Marie Poir\u00e9
1275,Science Fiction Thriller,saving the world bomb sun space marine sunlight,"If the sun dies, so do we.",Sunshine,Cillian Murphy Rose Byrne Chris Evans Michelle Yeoh Cliff Curtis,Danny Boyle
1276,Drama Comedy,liar literary agent,He only has 1000 words left to discover what matters the most.,A Thousand Words,Eddie Murphy Allison Janney Cliff Curtis Clark Duke Kerry Washington,Brian Robbins
1277,Adventure Fantasy Animation Comedy Science Fiction,,,Delgo,Freddie Prinze Jr. Jennifer Love Hewitt Val Kilmer Anne Bancroft Chris Kattan,Marc F. Adler
1278,Action Drama Crime,assassin hitman,Armed With the Truth.,The Gunman,Sean Penn Jasmine Trinca Javier Bardem Ray Winstone Mark Rylance,Pierre Morel
1279,Adventure Action Family,england secret intelligence service child hero wretch teen spy,Rule the school. Save the world.,Stormbreaker,Alex Pettyfer Sarah Bolger Ewan McGregor Robbie Coltrane Stephen Fry,Geoffrey Sax
1280,Thriller Drama Mystery,kidnapping young people,"The quieter the street, the darker the secrets....",Disturbia,Shia LaBeouf Sarah Roemer Carrie-Anne Moss David Morse Aaron Yoo,D.J. Caruso
1281,Action Crime Thriller Drama,female nudity hacker nudity computer virus virtual reality,"There is no right or wrong, only fun and boring",Hackers,Jonny Lee Miller Angelina Jolie Jesse Bradford Matthew Lillard Renoly Santiago,Iain Softley
1282,Action Adventure Thriller Drama,civil war spy hotel journalist journalism,How can they find the world's most wanted war criminal when the C.I.A. can't? [by actually looking],The Hunting Party,Richard Gere Terrence Howard James Brolin Diane Kruger Jesse Eisenberg,Richard Shepard
1283,Comedy Drama,suicide new york corruption journalist inventor,They took him for a fall guy... but he threw them for a hoop.,The Hudsucker Proxy,Tim Robbins Jennifer Jason Leigh Paul Newman Charles Durning John Mahoney,Joel Coen
1284,Action Drama History,assassin general dynasty brother blood brother,,The Warlords,Jet Li Andy Lau Takeshi Kaneshiro Xu Jinglei Wei Zongwan,Peter Chan
1285,Action History War,,Courage know no limit,Nomad: The Warrior,Kuno Becker Jay Hernandez Jason Scott Lee Doskhan Zholzhaksynov Ayanat Ksenbai,Sergei Bodrov Jr.
1286,Action Science Fiction Drama,father son relationship child labour brothel winter allegory,"AD 2031, the passengers in the train are the only survivors on Earth.",Snowpiercer,Chris Evans Song Kang-ho Ed Harris John Hurt Tilda Swinton,Bong Joon-ho
1287,Adventure Animation Comedy Family Fantasy,monster cgi 3d paris france,,A Monster in Paris,Vanessa Paradis Mathieu Chedid Gad Elmaleh Fran\u00e7ois Cluzet Ludivine Sagnier,Bibo Bergeron
1288,Action Comedy,,,The Last Shot,Matthew Broderick Alec Baldwin Toni Collette Calista Flockhart Ray Liotta,Jeff Nathanson
1289,Fantasy Action Thriller,halloween arson detroit,Real love is forever.,The Crow,Brandon Lee Rochelle Davis Ernie Hudson Michael Wincott Bai Ling,Alex Proyas
1290,Action Adventure War History,kingdom war bollywood medieval india ancient india,,Baahubali: The Beginning,Prabhas Rana Daggubati Tamanna Bhatia Anushka Shetty Ramya Krishnan,S.S. Rajamouli
1291,Drama Romance Fantasy,chicago sex based on novel nudity diary,,The Time Traveler's Wife,Eric Bana Rachel McAdams Michelle Nolden Arliss Howard Ron Livingston,Robert Schwentke
1292,Comedy,mother guitar sister sister relationship profession new love,"She's just your normal, overprotective, overbearing, over-the-top mother.",Because I Said So,Diane Keaton Mandy Moore Gabriel Macht Tom Everett Scott Lauren Graham,Michael Lehmann
1293,Animation Comedy Family,shyness stop motion black and white retro dog,The electrifying dog is back from beyond the grave,Frankenweenie,Charlie Tahan Catherine O'Hara Martin Short Martin Landau Atticus Shaffer,Tim Burton
1294,Science Fiction Action Adventure Thriller,martial arts telepathy dystopia spaceship fugitive,Can't stop the signal.,Serenity,Nathan Fillion Gina Torres Alan Tudyk Morena Baccarin Adam Baldwin,Joss Whedon
1295,Romance Drama,biography sport,,Against the Ropes,Meg Ryan Tony Shalhoub Joe Cortese Kerry Washington Omar Epps,Charles S. Dutton
1296,Comedy Action Adventure Fantasy Science Fiction,saving the world dc comics super computer identity crisis loss of powers,If the world's most powerful computer can control even Superman...no one on earth is safe.,Superman III,Christopher Reeve Richard Pryor Jackie Cooper Marc McClure Annette O'Toole,Richard Lester
1297,Comedy,father son relationship sport rivalry elderly elderly man,DeNiro vs Stallone,Grudge Match,Robert De Niro Sylvester Stallone Alan Arkin Jon Bernthal Kevin Hart,Peter Segal
1298,Adventure Drama Action,flaming arrow chinese history strategy carrier pigeon spear throwing,The future will be decided.,Red Cliff,Chang Chen Hu Jun Tony Leung Chiu-Wai Takeshi Kaneshiro Song Jia,John Woo
1299,Comedy Romance,new york marriage proposal alabama career woman fashion designer,Sometimes What You're Looking For Is Right Where You Left It.,Sweet Home Alabama,Reese Witherspoon Josh Lucas Patrick Dempsey Candice Bergen Rhona Mitra,Andy Tennant
1300,Comedy Romance,romantic comedy romance tv morning show relationship opposites attract,The battle of the sexes is on.,The Ugly Truth,Katherine Heigl Gerard Butler Eric Winter Bree Turner Nick Searcy,Robert Luketic
1301,Comedy Family,gulf war u.s. army based on tv series military spoof,All he ever wanted was an honest week's pay for an honest day's work.,Sgt. Bilko,Steve Martin Dan Aykroyd Phil Hartman Glenne Headly Daryl Mitchell,Jonathan Lynn
1302,Action Adventure Family,spy experiment island secret organization wretch,Little Spies. Big Attitudes,Spy Kids 2: The Island of Lost Dreams,Antonio Banderas Carla Gugino Alexa PenaVega Daryl Sabara Steve Buscemi,Robert Rodriguez
1303,Science Fiction Action Adventure Thriller,based on tv series death exploding planet mountain cabin solar system,Boldly go.,Star Trek: Generations,Patrick Stewart Jonathan Frakes Brent Spiner LeVar Burton Michael Dorn,David Carson
1304,Action Drama History,martial arts kung fu biography kung fu master,"In Martial Arts there is no right or wrong, only the last man standing.",The Grandmaster,Tony Leung Chiu-Wai Zhang Ziyi Song Hye-kyo Chang Chen Zhao Benshan,Wong Kar-wai
1305,Drama Romance,clown elephant trainer veterinary,Life is the most spectacular show on earth.,Water for Elephants,Robert Pattinson Reese Witherspoon Christoph Waltz Tatum Etheridge Hal Holbrook,Francis Lawrence
1306,Adventure Family Fantasy Animation,,,Dragon Nest: Warriors' Dawn,Carrie-Anne Moss Lucas Grabeel Blythe Auffarth Charlie Schlatter Simon Jaglom,Yuefeng Song
1307,Drama,prison boxer boxing match boxing school biography,His greatest fight was for justice.,The Hurricane,Denzel Washington Vicellous Reon Shannon Deborah Kara Unger Liev Schreiber John Hannah,Norman Jewison
1308,Drama Thriller,waitress wife husband relationship violent husband self-defense violence against women,Everyone has a limit.,Enough,Jennifer Lopez Billy Campbell Juliette Lewis Dan Futterman Fred Ward,Michael Apted
1309,Crime Comedy Romance,cons and scams,Caution: Dangerous Curves Ahead,Heartbreakers,Sigourney Weaver Jennifer Love Hewitt Gene Hackman Ray Liotta Jason Lee,David Mirkin
1310,Action Comedy Family,shopping mall las vegas security guard,Vegas has a new high roller.,Paul Blart: Mall Cop 2,Kevin James Raini Rodriguez Eduardo Ver\u00e1stegui Daniella Alonso Neal McDonough,Andy Fickman
1311,Drama Romance Thriller,car crash police officer,"The deeper you look, the more you will find.",Angel Eyes,Jennifer Lopez Jim Caviezel Jeremy Sisto Terrence Howard S\u00f4nia Braga,Luis Mandoki
1312,Comedy,profession karate daughter bef\u00f6rderung ex-wife,Someone just picked on the wrong nobody.,Joe Somebody,Tim Allen Julie Bowen Kelly Lynch Greg Germann Jim Belushi,John Pasquin
1313,Horror Mystery Thriller,new york obsession passion for collection southern france mephisto,Every book has a life of its own.,The Ninth Gate,Johnny Depp Frank Langella Lena Olin Emmanuelle Seigner Barbara Jefford,Roman Polanski
1314,Drama Thriller,new york surgeon british suspense morgue,Not all surgery is intended to cure.,Extreme Measures,Hugh Grant Gene Hackman Sarah Jessica Parker David Morse Bill Nunn,Michael Apted
1315,Music Drama Comedy,rock star success discontentedness and displeasedness heavy metal relationship problems,The story of a wanna be who got to be.,Rock Star,Mark Wahlberg Jennifer Aniston Jason Flemyng Dominic West Jason Bonham,Stephen Herek
1316,Drama,aids illiteracy song unwillingly pregnant balloon,Life is hard. Life is short. Life is painful. Life is rich. Life is....Precious.,Precious,Gabourey Sidibe Mo'Nique Paula Patton Mariah Carey Lenny Kravitz,Lee Daniels
1317,Action Drama,sailing trip diary sailing survival coming of age,,White Squall,Jeff Bridges Caroline Goodall John Savage Scott Wolf Jeremy Sisto,Ridley Scott
1318,Horror Mystery Science Fiction,ice space marine paranoia snow storm norwegian,Man is The Warmest Place to Hide.,The Thing,Kurt Russell Keith David Wilford Brimley Donald Moffat Richard Dysart,John Carpenter
1319,Science Fiction Action Thriller,dystopia revenge alien planet imax,Survival Is His Revenge,Riddick,Vin Diesel Karl Urban Katee Sackhoff Jordi Moll\u00e0 Bokeem Woodbine,David Twohy
1320,Action Adventure Mystery Thriller,loss of son serial killer train,The hunter becomes the hunted.,Switchback,Dennis Quaid Danny Glover R. Lee Ermey Claudia Stedelin Brent Hinkley,Jeb Stuart
1321,Action Western,underwear tiger racial segregation,,Texas Rangers,James Van Der Beek Rachael Leigh Cook Ashton Kutcher Dylan McDermott Usher Raymond,Steve Miner
1322,Adventure Family Fantasy,underground world mayor adventure post-apocalyptic dystopia,Escape is the only option,City of Ember,Saoirse Ronan Harry Treadaway Mary Kay Place Bill Murray Martin Landau,Gil Kenan
1323,Drama,post traumatic stress  disorder sexual obsession postwar period drifter alcoholic,Every Man Needs a Guide,The Master,Joaquin Phoenix Philip Seymour Hoffman Amy Adams Laura Dern Jesse Plemons,Paul Thomas Anderson
1324,Adventure Action Comedy Romance,,Anything Can Happen When You're In ... Virgin Territory,Virgin Territory,Ryan Cartwright Hayden Christensen Mischa Barton Jay Villiers Simone Spinazz\u00e8,David Leland
1325,Drama,american football college biography sport syracuse university,He changed our country... one yard at a time.,The Express,Rob Brown Dennis Quaid Darrin Henson Charles S. Dutton Aunjanue Ellis,Gary Fleder
1326,Adventure Science Fiction,based on novel dystopia alien alien invasion human subjugation,Protect Your Own,The 5th Wave,Chlo\u00eb Grace Moretz Nick Robinson Alex Roe Maika Monroe Zackary Arthur,J Blakeson
1327,Drama,underdog sport spin off underground fighting motivational speaker,Your legacy is more than a name,Creed,Michael B. Jordan Sylvester Stallone Graham McTavish Tessa Thompson Phylicia Rash\u0101d,Ryan Coogler
1328,Crime Drama Thriller,based on novel money laundering ambulance boston massachusetts,Welcome to the bank robbery capital of America.,The Town,Ben Affleck Rebecca Hall Jeremy Renner Jon Hamm Blake Lively,Ben Affleck
1329,Romance Comedy Drama,based on novel adoption pregnant miscarriage expectant father,It's too late to pull out now.,What to Expect When You're Expecting,Cameron Diaz Jennifer Lopez Elizabeth Banks Anna Kendrick Brooklyn Decker,Kirk Jones
1330,Comedy Drama,blackmail paranoia fitness-training plastic surgery autobiography,Intelligence is relative.,Burn After Reading,George Clooney Frances McDormand Brad Pitt John Malkovich Tilda Swinton,Joel Coen
